k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,100
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,100
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,100
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,15
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,15
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,15
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,15
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,15
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,15
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,200
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,200
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,200
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,200
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,200
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,200
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,20
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,20
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,20
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,20
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,20
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,20
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,300
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,300
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,300
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,300
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,300
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,300
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,35
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,35
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,35
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,35
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,35
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,35
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,50
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,1.93069772888325E-10,0.0001,2E-12,2E-12,20,50
1E-12,1.93069772888325E-10,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,1.93069772888325E-10,0.0001285714,2E-12,1.14857142857143E-10,20,50
