identifier_id,k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
2716,3.72759372031494E-14,7.19685673001153E-12,0.0001571429,1.03571428571429E-10,1.26142857142857E-10,20,20
2747,3.72759372031494E-14,7.19685673001153E-12,0.0001571429,1.26142857142857E-10,1.37428571428571E-10,20,20
2895,3.72759372031494E-14,7.19685673001153E-12,0.0001714286,6.97142857142857E-11,1.14857142857143E-10,20,20
3713,3.72759372031494E-14,7.19685673001153E-12,0.0002285714,1.32857142857143E-11,3.58571428571428E-11,20,20
4339,3.72759372031494E-14,7.19685673001153E-12,0.0002571429,1.37428571428571E-10,1.6E-10,20,20
4923,3.72759372031494E-14,7.19685673001153E-12,0.0003,6.97142857142857E-11,1.48714285714286E-10,20,20
5367,3.72759372031494E-14,1.63789370695407E-11,0.0001142857,6.97142857142857E-11,8.1E-11,20,20
5579,3.72759372031494E-14,1.63789370695407E-11,0.0001285714,5.84285714285714E-11,1.03571428571429E-10,20,20
5687,3.72759372031494E-14,1.63789370695407E-11,0.0001285714,1.37428571428571E-10,1.37428571428571E-10,20,20
6449,3.72759372031494E-14,1.63789370695407E-11,0.0001857143,3.58571428571428E-11,1.03571428571429E-10,20,20
6475,3.72759372031494E-14,1.63789370695407E-11,0.0001857143,5.84285714285714E-11,5.84285714285714E-11,20,20
6686,3.72759372031494E-14,1.63789370695407E-11,0.0002,4.71428571428571E-11,6.97142857142857E-11,20,20
7186,3.72759372031494E-14,1.63789370695407E-11,0.0002285714,8.1E-11,1.26142857142857E-10,20,20
7394,3.72759372031494E-14,1.63789370695407E-11,0.0002428571,6.97142857142857E-11,1.03571428571429E-10,20,20
63,3.72759372031494E-14,3.16227766016838E-12,0.0002,1.37428571428571E-10,1.48714285714286E-10,20,35
213,3.72759372031494E-14,3.16227766016838E-12,0.0002142857,8.1E-11,1.48714285714286E-10,20,35
918,3.72759372031494E-14,3.16227766016838E-12,0.0002571429,1.03571428571429E-10,1.48714285714286E-10,20,35
2494,3.72759372031494E-14,7.19685673001153E-12,0.0001428571,1.03571428571429E-10,1.6E-10,20,35
3888,3.72759372031494E-14,7.19685673001153E-12,0.0002285714,1.37428571428571E-10,1.48714285714286E-10,20,35
4803,3.72759372031494E-14,7.19685673001153E-12,0.0002857143,1.48714285714286E-10,1.48714285714286E-10,20,35
5127,3.72759372031494E-14,1.63789370695407E-11,0.0001,5.84285714285714E-11,8.1E-11,20,35
5479,3.72759372031494E-14,1.63789370695407E-11,0.0001142857,1.48714285714286E-10,1.6E-10,20,35
7217,3.72759372031494E-14,1.63789370695407E-11,0.0002285714,1.03571428571429E-10,1.37428571428571E-10,20,35
692,3.72759372031494E-14,3.16227766016838E-12,0.0002428571,1.03571428571429E-10,1.37428571428571E-10,20,50
2040,3.72759372031494E-14,7.19685673001153E-12,0.0001142857,1.03571428571429E-10,1.14857142857143E-10,20,50
2972,3.72759372031494E-14,7.19685673001153E-12,0.0001714286,1.26142857142857E-10,1.37428571428571E-10,20,50
3408,3.72759372031494E-14,7.19685673001153E-12,0.0002,1.14857142857143E-10,1.48714285714286E-10,20,50
3603,3.72759372031494E-14,7.19685673001153E-12,0.0002142857,9.22857142857143E-11,1.48714285714286E-10,20,50
3778,3.72759372031494E-14,7.19685673001153E-12,0.0002285714,5.84285714285714E-11,9.22857142857143E-11,20,50
3988,3.72759372031494E-14,7.19685673001153E-12,0.0002428571,4.71428571428571E-11,9.22857142857143E-11,20,50
4338,3.72759372031494E-14,7.19685673001153E-12,0.0002571429,1.37428571428571E-10,1.48714285714286E-10,20,50
150,3.72759372031494E-14,1.63789370695407E-11,0.0002571429,1.6E-10,1.6E-10,20,15
478,3.72759372031494E-14,1.63789370695407E-11,0.0002857143,6.97142857142857E-11,1.37428571428571E-10,20,15
1341,3.72759372031494E-14,3.72759372031494E-11,0.0001285714,4.71428571428571E-11,5.84285714285714E-11,20,15
1782,3.72759372031494E-14,3.72759372031494E-11,0.0001571429,3.58571428571428E-11,1.26142857142857E-10,20,15
1886,3.72759372031494E-14,3.72759372031494E-11,0.0001571429,1.14857142857143E-10,1.14857142857143E-10,20,15
2084,3.72759372031494E-14,3.72759372031494E-11,0.0001714286,9.22857142857143E-11,1.48714285714286E-10,20,15
2113,3.72759372031494E-14,3.72759372031494E-11,0.0001714286,1.14857142857143E-10,1.37428571428571E-10,20,15
2485,3.72759372031494E-14,3.72759372031494E-11,0.0002,5.84285714285714E-11,1.03571428571429E-10,20,15
2712,3.72759372031494E-14,3.72759372031494E-11,0.0002142857,5.84285714285714E-11,1.26142857142857E-10,20,15
2932,3.72759372031494E-14,3.72759372031494E-11,0.0002285714,5.84285714285714E-11,6.97142857142857E-11,20,15
3030,3.72759372031494E-14,3.72759372031494E-11,0.0002285714,1.26142857142857E-10,1.6E-10,20,15
3419,3.72759372031494E-14,3.72759372031494E-11,0.0002571429,8.1E-11,1.48714285714286E-10,20,15
6246,3.72759372031494E-14,8.48342898244072E-11,0.0002285714,1.32857142857143E-11,5.84285714285714E-11,20,15
6599,3.72759372031494E-14,8.48342898244072E-11,0.0002428571,1.03571428571429E-10,1.48714285714286E-10,20,15
6972,3.72759372031494E-14,8.48342898244072E-11,0.0002714286,4.71428571428571E-11,1.26142857142857E-10,20,15
7020,3.72759372031494E-14,8.48342898244072E-11,0.0002714286,8.1E-11,1.6E-10,20,15
7210,3.72759372031494E-14,8.48342898244072E-11,0.0002857143,5.84285714285714E-11,1.03571428571429E-10,20,15
7399,3.72759372031494E-14,8.48342898244072E-11,0.0003,3.58571428571428E-11,3.58571428571428E-11,20,15
134,3.72759372031494E-14,1.63789370695407E-11,0.0002571429,1.48714285714286E-10,1.48714285714286E-10,20,20
329,3.72759372031494E-14,1.63789370695407E-11,0.0002714286,1.26142857142857E-10,1.48714285714286E-10,20,20
426,3.72759372031494E-14,1.63789370695407E-11,0.0002857143,3.58571428571428E-11,5.84285714285714E-11,20,20
762,3.72759372031494E-14,1.63789370695407E-11,0.0003,1.14857142857143E-10,1.26142857142857E-10,20,20
1634,3.72759372031494E-14,3.72759372031494E-11,0.0001428571,9.22857142857143E-11,1.48714285714286E-10,20,20
3135,3.72759372031494E-14,3.72759372031494E-11,0.0002428571,3.58571428571428E-11,1.6E-10,20,20
3735,3.72759372031494E-14,3.72759372031494E-11,0.0002714286,1.48714285714286E-10,1.6E-10,20,20
5037,3.72759372031494E-14,8.48342898244072E-11,0.0001428571,1.14857142857143E-10,1.26142857142857E-10,20,20
5624,3.72759372031494E-14,8.48342898244072E-11,0.0001857143,4.71428571428571E-11,1.48714285714286E-10,20,20
6870,3.72759372031494E-14,8.48342898244072E-11,0.0002571429,1.37428571428571E-10,1.6E-10,20,20
315,3.72759372031494E-14,1.63789370695407E-11,0.0002714286,1.14857142857143E-10,1.6E-10,20,35
1324,3.72759372031494E-14,3.72759372031494E-11,0.0001285714,3.58571428571428E-11,3.58571428571428E-11,20,35
2723,3.72759372031494E-14,3.72759372031494E-11,0.0002142857,6.97142857142857E-11,8.1E-11,20,35
2775,3.72759372031494E-14,3.72759372031494E-11,0.0002142857,1.03571428571429E-10,1.6E-10,20,35
3479,3.72759372031494E-14,3.72759372031494E-11,0.0002571429,1.26142857142857E-10,1.48714285714286E-10,20,35
3735,3.72759372031494E-14,3.72759372031494E-11,0.0002714286,1.48714285714286E-10,1.6E-10,20,35
5968,3.72759372031494E-14,8.48342898244072E-11,0.0002,1.37428571428571E-10,1.37428571428571E-10,20,35
6643,3.72759372031494E-14,8.48342898244072E-11,0.0002428571,1.37428571428571E-10,1.37428571428571E-10,20,35
6837,3.72759372031494E-14,8.48342898244072E-11,0.0002571429,1.14857142857143E-10,1.26142857142857E-10,20,35
7559,3.72759372031494E-14,8.48342898244072E-11,0.0003,1.48714285714286E-10,1.48714285714286E-10,20,35
476,3.72759372031494E-14,1.63789370695407E-11,0.0002857143,6.97142857142857E-11,1.14857142857143E-10,20,50
667,3.72759372031494E-14,1.63789370695407E-11,0.0003,4.71428571428571E-11,6.97142857142857E-11,20,50
2308,3.72759372031494E-14,3.72759372031494E-11,0.0001857143,9.22857142857143E-11,1.37428571428571E-10,20,50
6570,3.72759372031494E-14,8.48342898244072E-11,0.0002428571,8.1E-11,1.6E-10,20,50
1445,3.72759372031494E-14,1.93069772888325E-10,0.0001857143,8.1E-11,9.22857142857143E-11,20,15
1766,3.72759372031494E-14,1.93069772888325E-10,0.0002,1.48714285714286E-10,1.6E-10,20,15
1942,3.72759372031494E-14,1.93069772888325E-10,0.0002142857,1.14857142857143E-10,1.14857142857143E-10,20,15
2619,3.72759372031494E-14,1.93069772888325E-10,0.0002571429,1.14857142857143E-10,1.37428571428571E-10,20,15
3005,3.72759372031494E-14,1.93069772888325E-10,0.0002857143,6.97142857142857E-11,9.22857142857143E-11,20,15
3084,3.72759372031494E-14,1.93069772888325E-10,0.0002857143,1.26142857142857E-10,1.37428571428571E-10,20,15
5694,3.72759372031494E-14,4.39397056076079E-10,0.0002428571,5.84285714285714E-11,1.37428571428571E-10,20,15
6187,3.72759372031494E-14,4.39397056076079E-10,0.0002714286,9.22857142857143E-11,1.14857142857143E-10,20,15
322,3.72759372031494E-14,1.93069772888325E-10,0.0001142857,8.1E-11,1.14857142857143E-10,20,20
336,3.72759372031494E-14,1.93069772888325E-10,0.0001142857,9.22857142857143E-11,1.03571428571429E-10,20,20
905,3.72759372031494E-14,1.93069772888325E-10,0.0001571429,1.32857142857143E-11,9.22857142857143E-11,20,20
1316,3.72759372031494E-14,1.93069772888325E-10,0.0001714286,1.48714285714286E-10,1.6E-10,20,20
1735,3.72759372031494E-14,1.93069772888325E-10,0.0002,1.26142857142857E-10,1.48714285714286E-10,20,20
2108,3.72759372031494E-14,1.93069772888325E-10,0.0002285714,6.97142857142857E-11,1.26142857142857E-10,20,20
3234,3.72759372031494E-14,1.93069772888325E-10,0.0003,6.97142857142857E-11,1.37428571428571E-10,20,20
3937,3.72759372031494E-14,4.39397056076079E-10,0.0001285714,9.22857142857143E-11,1.14857142857143E-10,20,20
4300,3.72759372031494E-14,4.39397056076079E-10,0.0001571429,2.45714285714286E-11,1.48714285714286E-10,20,20
4886,3.72759372031494E-14,4.39397056076079E-10,0.0001857143,1.26142857142857E-10,1.6E-10,20,20
4950,3.72759372031494E-14,4.39397056076079E-10,0.0002,1.32857142857143E-11,3.58571428571428E-11,20,20
2410,3.72759372031494E-14,1.93069772888325E-10,0.0002428571,1.26142857142857E-10,1.48714285714286E-10,20,35
4177,3.72759372031494E-14,4.39397056076079E-10,0.0001428571,1.03571428571429E-10,1.14857142857143E-10,20,35
5005,3.72759372031494E-14,4.39397056076079E-10,0.0002,4.71428571428571E-11,1.48714285714286E-10,20,35
3116,3.72759372031494E-14,1.93069772888325E-10,0.0002857143,1.48714285714286E-10,1.6E-10,20,50
6233,3.72759372031494E-14,4.39397056076079E-10,0.0002714286,1.26142857142857E-10,1.26142857142857E-10,20,50
247,3.72759372031494E-14,0.000000001,0.0001571429,1.48714285714286E-10,1.6E-10,20,15
1984,3.72759372031494E-14,0.000000001,0.0002714286,1.03571428571429E-10,1.26142857142857E-10,20,15
1999,3.72759372031494E-14,0.000000001,0.0002714286,1.14857142857143E-10,1.26142857142857E-10,20,15
2336,3.72759372031494E-14,0.000000001,0.0003,3.58571428571428E-11,3.58571428571428E-11,20,15
2375,3.72759372031494E-14,0.000000001,0.0003,5.84285714285714E-11,1.37428571428571E-10,20,15
1114,3.72759372031494E-14,0.000000001,0.0002142857,1.26142857142857E-10,1.26142857142857E-10,20,20
1475,3.72759372031494E-14,0.000000001,0.0002428571,5.84285714285714E-11,1.37428571428571E-10,20,20
2165,3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.37428571428571E-10,20,20
799,3.72759372031494E-14,0.000000001,0.0002,5.84285714285714E-11,1.26142857142857E-10,20,35
1909,3.72759372031494E-14,0.000000001,0.0002714286,4.71428571428571E-11,1.26142857142857E-10,20,35
2165,3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.37428571428571E-10,20,35
2196,3.72759372031494E-14,0.000000001,0.0002857143,9.22857142857143E-11,1.48714285714286E-10,20,35
